time_start,time_end,model,launch_place,target,carrier,launched,destroyed,source
2023-05-16 3:30,2023-05-16 07:00,Kalibr,Black Sea,Ukraine,Navi,9,9,kpszsu/posts/pfbid0ghJSYEmPHYu24PRkc5KdmSjCofS1FQ4LdgmkxBZYkx7ht35UYavurH74MG2fibBrl
2023-05-16 3:30,2023-05-16 07:00,C-400 and Iskander-M,,Ukraine,,10,10,kpszsu/posts/pfbid0ghJSYEmPHYu24PRkc5KdmSjCofS1FQ4LdgmkxBZYkx7ht35UYavurH74MG2fibBrl
2023-05-16 3:30,2023-05-16 07:00,Shahed-136/131,,Ukraine,,6,6,kpszsu/posts/pfbid0ghJSYEmPHYu24PRkc5KdmSjCofS1FQ4LdgmkxBZYkx7ht35UYavurH74MG2fibBrl
2023-05-16 3:30,2023-05-16 07:00,Orlan-10,,Ukraine,,1,1,kpszsu/posts/pfbid0ghJSYEmPHYu24PRkc5KdmSjCofS1FQ4LdgmkxBZYkx7ht35UYavurH74MG2fibBrl
2023-05-16 3:30,2023-05-16 07:00,Supercam,,Ukraine,,2,2,kpszsu/posts/pfbid0ghJSYEmPHYu24PRkc5KdmSjCofS1FQ4LdgmkxBZYkx7ht35UYavurH74MG2fibBrl
2023-05-16,2023-05-16 18:00,Orlan-10,,Mykolaiv oblast,,1,1,PvKPivden/posts/pfbid0LDCq1R1DZ8LPMwCSJgjCLdr5fcwAAYPS2cBQFK7cwZMqsoSypxmdHjxwRyPF1bUTl
2023-05-16,2023-05-16 18:00,Unknown UAV,,Mykolaiv oblast,,1,1,PvKPivden/posts/pfbid0LDCq1R1DZ8LPMwCSJgjCLdr5fcwAAYPS2cBQFK7cwZMqsoSypxmdHjxwRyPF1bUTl
2023-05-17 21:00,2023-05-18 05:30,Unknown UAV,,Ukraine,,2,2,kpszsu/posts/pfbid0KDyjrTAQvrkAbAp5U2b8XB6XHLPK2FhgGPSTERFP1uArfrLisiVMwaNYUNpCch16l
2023-05-17 21:00,2023-05-18 05:30,Shahed-136/131,,Ukraine,,2,2,kpszsu/posts/pfbid0KDyjrTAQvrkAbAp5U2b8XB6XHLPK2FhgGPSTERFP1uArfrLisiVMwaNYUNpCch16l
2023-05-17 21:00,2023-05-18 05:30,X-101/X-555,,Ukraine,2 x Tu-160 and 8 x Tu-95,22,21,kpszsu/posts/pfbid0KDyjrTAQvrkAbAp5U2b8XB6XHLPK2FhgGPSTERFP1uArfrLisiVMwaNYUNpCch16l
2023-05-17 21:00,2023-05-18 05:30,Kalibr,Black Sea,Ukraine,Navi,6,6,kpszsu/posts/pfbid0KDyjrTAQvrkAbAp5U2b8XB6XHLPK2FhgGPSTERFP1uArfrLisiVMwaNYUNpCch16l
2023-05-17 21:00,2023-05-18 05:30,Iskander-K,,Ukraine,,2,2,kpszsu/posts/pfbid0KDyjrTAQvrkAbAp5U2b8XB6XHLPK2FhgGPSTERFP1uArfrLisiVMwaNYUNpCch16l
2023-05-19,2023-05-19 06:00,Kalibr,Black Sea,Ukraine,Navi,6,3,kpszsu/posts/pfbid0KDyjrTAQvrkAbAp5U2b8XB6XHLPK2FhgGPSTERFP1uArfrLisiVMwaNYUNpCch16l
2023-05-19,2023-05-19 06:00,Shahed-136/131,,Ukraine,,22,16,kpszsu/posts/pfbid0KDyjrTAQvrkAbAp5U2b8XB6XHLPK2FhgGPSTERFP1uArfrLisiVMwaNYUNpCch16l
2023-05-19,2023-05-19,Shahed-136/131,,east,,2,2,kpszsu/posts/pfbid0B1PT2x4LszYUgYTEqhveMfYyzGGk2bpji2HBqyZkks4ugENkXtRy8EsUE9iZ4N2nl
2023-05-19,2023-05-19,Merlin-VR,,south,,1,1,kpszsu/posts/pfbid0B1PT2x4LszYUgYTEqhveMfYyzGGk2bpji2HBqyZkks4ugENkXtRy8EsUE9iZ4N2nl
2023-05-20,2023-05-20 06:00,Shahed-136/131,,Kyiv oblast,,18,18,kpszsu/posts/pfbid0B1PT2x4LszYUgYTEqhveMfYyzGGk2bpji2HBqyZkks4ugENkXtRy8EsUE9iZ4N2nl
2023-05-20,2023-05-20 18:00,Shahed-136/131,,Mykolaiv oblast and Kherson oblast,,3,3,PvKPivden/posts/pfbid029TWL5hNZZUS9GCK3MFBJRDch9LpJJeG2n1yYdH953rRdjY5dvS6Xwpk7b5XxqfYKl
2023-05-20,2023-05-20 18:00,Merlin-VR,,Mykolaiv oblast and Kherson oblast,,1,1,PvKPivden/posts/pfbid029TWL5hNZZUS9GCK3MFBJRDch9LpJJeG2n1yYdH953rRdjY5dvS6Xwpk7b5XxqfYKl
2023-05-20,2023-05-20 18:00,Orlan-10,,Mykolaiv oblast and Kherson oblast,,1,1,PvKPivden/posts/pfbid029TWL5hNZZUS9GCK3MFBJRDch9LpJJeG2n1yYdH953rRdjY5dvS6Xwpk7b5XxqfYKl
2023-05-20 21:00,2023-05-20 23:59,Shahed-136/131,,east,,4,4,kpszsu/posts/pfbid0383i1m9TQTbyGXCJaRLQWg4VXQyymVp7D1m3FF2iqD1pnF64poP8sbuSGyMzkX1cCl
2023-05-21,2023-05-21 18:00,Merlin-VR,,Kherson oblast,,1,1,PvKPivden/posts/pfbid0a99K3Q1cWZ38TSb8s3YnVmaNUaZoML2JiLSS5atqEy3TPZc27XdvCxJ3GBAFk7G9l
2023-05-21,2023-05-21 18:00,Orlan-10,,Kherson oblast,,1,1,PvKPivden/posts/pfbid0a99K3Q1cWZ38TSb8s3YnVmaNUaZoML2JiLSS5atqEy3TPZc27XdvCxJ3GBAFk7G9l
2023-05-21,2023-05-21 18:00,ZALA,,Kherson oblast,,1,1,PvKPivden/posts/pfbid0a99K3Q1cWZ38TSb8s3YnVmaNUaZoML2JiLSS5atqEy3TPZc27XdvCxJ3GBAFk7G9l
2023-05-22 02:30,2023-05-22 05:30,Shahed-136/131,,Ukraine,,20,20,kpszsu/posts/pfbid0hs89Jjw8gVVJofnKddfMA7fpPuEHyrSPB4VHfKjTwpW8mdp8kCWqGt4fRWvMjkHfl
2023-05-22 02:30,2023-05-22 05:30,X-101/X-555,Caspian Sea,Ukraine,Tu-95MS,4,4,kpszsu/posts/pfbid0hs89Jjw8gVVJofnKddfMA7fpPuEHyrSPB4VHfKjTwpW8mdp8kCWqGt4fRWvMjkHfl
